2025-12-29 18:11:00 | INFO     | log:151 | [lifespan] Server shutting down
2025-12-29 18:11:45 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-29 18:11:45 | DEBUG    | log:153 | [normalize_query] 'tra cứu phí giao dịch chuyển khoản đến s...' -> 'Tra cứu phí giao dịch chuyển khoản đến s...'
2025-12-29 18:11:45 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [tra cứu phí giao dịch chuyển khoản đến số tài khoản 2008698951018 của tôi] - formatted_query: [Tra cứu phí giao dịch chuyển khoản đến số tài khoản 2008698951018 của tôi] - normalized_query: [Tra cứu phí giao dịch chuyển khoản đến số tài khoản 2008698951018 của tôi]
2025-12-29 18:11:45 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=1.3442, max=25.4538
2025-12-29 18:11:45 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tra cứu phí giao dịch chuyển k...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-29 18:11:45 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tra cứu phí giao dịch chuyển k...' | Doc: Tra cứu giao dịch ch | Boost: 0.25 | Matched: ['chuyển khoản']
2025-12-29 18:11:45 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tra cứu phí giao dịch chuyển k...' | Doc: Tra cứu phí giao dịc | Boost: 0.25 | Matched: ['phí']
2025-12-29 18:11:45 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Tra cứu phí giao dịch chuyển k...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu giao dịch chuyển tiền': 1, 'Tra cứu phí giao dịch': 1}
2025-12-29 18:11:45 | INFO     | log:151 | [search_single] Found 10 results
2025-12-29 18:11:45 | DEBUG    | log:153 | [search_single] Top: Tra cứu phí giao dịch... (score=0.8366, sem=0.8737, bm25=1.0000, boost=0.2500)
2025-12-29 18:12:15 | INFO     | log:151 | [search_single] Searching: 'tra cứu phí giao dịch chuyển khoản đến số tài khoả...' (top_k=10)
2025-12-29 18:12:15 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-29 18:12:15 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-29 18:12:15 | DEBUG    | log:153 | [normalize_query] 'tra cứu phí giao dịch chuyển khoản đến s...' -> 'Tra cứu phí giao dịch chuyển khoản đến s...'
2025-12-29 18:12:15 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [tra cứu phí giao dịch chuyển khoản đến số tài khoản 2008698951018 của tôi] - formatted_query: [Tra cứu phí giao dịch chuyển khoản đến số tài khoản 2008698951018 của tôi] - normalized_query: [Tra cứu phí giao dịch chuyển khoản đến số tài khoản 2008698951018 của tôi]
2025-12-29 18:12:15 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=1.3442, max=25.4538
2025-12-29 18:12:15 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tra cứu phí giao dịch chuyển k...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-29 18:12:15 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tra cứu phí giao dịch chuyển k...' | Doc: Tra cứu giao dịch ch | Boost: 0.25 | Matched: ['chuyển khoản']
2025-12-29 18:12:15 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tra cứu phí giao dịch chuyển k...' | Doc: Tra cứu phí giao dịc | Boost: 0.25 | Matched: ['phí']
2025-12-29 18:12:15 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Tra cứu phí giao dịch chuyển k...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu giao dịch chuyển tiền': 1, 'Tra cứu phí giao dịch': 1}
2025-12-29 18:12:15 | INFO     | log:151 | [search_single] Found 10 results
2025-12-29 18:12:15 | DEBUG    | log:153 | [search_single] Top: Tra cứu phí giao dịch... (score=0.8366, sem=0.8737, bm25=1.0000, boost=0.2500)
