2025-12-30 17:00:51 | INFO     | log:151 | [search_batch_stream] Batch stream search from: Query_teamplate_30-12.xlsx
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tôi hỏi trạng thái tài khoản c...' | Doc: Tra cứu giao dịch th | Boost: 0.25 | Matched: ['trạng thái']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Tôi hỏi trạng thái tài khoản c...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu giao dịch theo trạng thái': 1}
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Giúp tôi xem trạng thái tài khoản của tô...' -> 'Giúp tôi xem trạng thái tài khoản của tô...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Giúp tôi xem trạng thái tài khoản của tôi] - formatted_query: [Giúp tôi xem trạng thái tài khoản của tôi] - normalized_query: [Giúp tôi xem trạng thái tài khoản của tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.5203, max=11.0873
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Giúp tôi xem trạng thái tài kh...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Giúp tôi xem trạng thái tài kh...' | Doc: Tra cứu giao dịch th | Boost: 0.25 | Matched: ['trạng thái']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Giúp tôi xem trạng thái tài kh...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu giao dịch theo trạng thái': 1}
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Xem dùm tôi trạng thái tài khoản của tôi...' -> 'Xem dùm tôi trạng thái tài khoản của tôi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Xem dùm tôi trạng thái tài khoản của tôi] - formatted_query: [Xem dùm tôi trạng thái tài khoản của tôi] - normalized_query: [Xem dùm tôi trạng thái tài khoản của tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.5203, max=11.0873
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem dùm tôi trạng thái tài kho...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem dùm tôi trạng thái tài kho...' | Doc: Tra cứu giao dịch th | Boost: 0.25 | Matched: ['trạng thái']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Xem dùm tôi trạng thái tài kho...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu giao dịch theo trạng thái': 1}
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Chi tiết về trạng thái tài khoản của tôi...' -> 'Chi tiết về trạng thái tài khoản của tôi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Chi tiết về trạng thái tài khoản của tôi] - formatted_query: [Chi tiết về trạng thái tài khoản của tôi] - normalized_query: [Chi tiết về trạng thái tài khoản của tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.3322, max=9.2052
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Chi tiết về trạng thái tài kho...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Chi tiết về trạng thái tài kho...' | Doc: Tra cứu giao dịch th | Boost: 0.25 | Matched: ['trạng thái']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Chi tiết về trạng thái tài kho...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu giao dịch theo trạng thái': 1}
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Xem hộ trạng thái tài khoản của tôi...' -> 'Xem hộ trạng thái tài khoản của tôi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Xem hộ trạng thái tài khoản của tôi] - formatted_query: [Xem hộ trạng thái tài khoản của tôi] - normalized_query: [Xem hộ trạng thái tài khoản của tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.5203, max=11.0873
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem hộ trạng thái tài khoản củ...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem hộ trạng thái tài khoản củ...' | Doc: Tra cứu giao dịch th | Boost: 0.25 | Matched: ['trạng thái']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Xem hộ trạng thái tài khoản củ...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu giao dịch theo trạng thái': 1}
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Xem full thông tin tài khoản của tôi...' -> 'Xem full thông tin tài khoản của tôi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Xem full thông tin tài khoản của tôi] - formatted_query: [Xem full thông tin tài khoản của tôi] - normalized_query: [Xem full thông tin tài khoản của tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.6210, max=4.4454
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem full thông tin tài khoản c...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Xem full thông tin tài khoản c...' -> Tra cứu lịch sử giao dịch theo (score=1)
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Cho xem toàn bộ account info...' -> 'Cho xem toàn bộ account info...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Cho xem toàn bộ account info] - formatted_query: [Cho xem toàn bộ account info] - normalized_query: [Cho xem toàn bộ account info]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0000, max=11.5015
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Cho xem toàn bộ account info'
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Xem chi tiết account detail của tôi...' -> 'Xem chi tiết account detail của tôi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Xem chi tiết account detail của tôi] - formatted_query: [Xem chi tiết account detail của tôi] - normalized_query: [Xem chi tiết account detail của tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0000, max=13.0492
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Xem chi tiết account detail của tôi'
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Kiểm tra tất cả thông tin tài khoản...' -> 'Kiểm tra tất cả thông tin tài khoản...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Kiểm tra tất cả thông tin tài khoản] - formatted_query: [Kiểm tra tất cả thông tin tài khoản] - normalized_query: [Kiểm tra tất cả thông tin tài khoản]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.3849, max=13.4186
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Kiểm tra tất cả thông tin tài ...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Kiểm tra tất cả thông tin tài ...' -> Tra cứu lịch sử giao dịch theo (score=1)
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Tài khoản tôi còn bao nhiêu tiền dùng đư...' -> 'Tài khoản tôi còn bao nhiêu tiền dùng đư...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Tài khoản tôi còn bao nhiêu tiền dùng được] - formatted_query: [Tài khoản tôi còn bao nhiêu tiền dùng được] - normalized_query: [Tài khoản tôi còn bao nhiêu tiền dùng được]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0778, max=13.1746
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tài khoản tôi còn bao nhiêu ti...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Tài khoản tôi còn bao nhiêu ti...' -> Tra cứu lịch sử giao dịch theo (score=1)
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Available balance của tôi là bao nhiêu...' -> 'Available balance của tôi là bao nhiêu...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Available balance của tôi là bao nhiêu] - formatted_query: [Available balance của tôi là bao nhiêu] - normalized_query: [Available balance của tôi là bao nhiêu]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0160, max=7.0187
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Available balance của tôi là bao nhiêu'
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Kiểm tra số tiền khả dụng trong tài khoả...' -> 'Kiểm tra số tiền khả dụng trong tài khoả...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Kiểm tra số tiền khả dụng trong tài khoản] - formatted_query: [Kiểm tra số tiền khả dụng trong tài khoản] - normalized_query: [Kiểm tra số tiền khả dụng trong tài khoản]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.4328, max=6.8241
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Kiểm tra số tiền khả dụng tron...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Kiểm tra số tiền khả dụng tron...' -> Tra cứu lịch sử giao dịch theo (score=1)
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Số dư dùng được hiện giờ là bao nhiêu...' -> 'Số dư dùng được hiện giờ là bao nhiêu...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Số dư dùng được hiện giờ là bao nhiêu] - formatted_query: [Số dư dùng được hiện giờ là bao nhiêu] - normalized_query: [Số dư dùng được hiện giờ là bao nhiêu]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.1182, max=7.1893
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Số dư dùng được hiện giờ là bao nhiêu'
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Tài khoản của tôi còn active không...' -> 'Tài khoản của tôi còn active không...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Tài khoản của tôi còn active không] - formatted_query: [Tài khoản của tôi còn active không] - normalized_query: [Tài khoản của tôi còn active không]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0000, max=3.4769
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tài khoản của tôi còn active k...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Tài khoản của tôi còn active k...' -> Tra cứu lịch sử giao dịch theo (score=1)
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Check trạng thái tài khoản giúp tôi...' -> 'Check trạng thái tài khoản giúp tôi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Check trạng thái tài khoản giúp tôi] - formatted_query: [Check trạng thái tài khoản giúp tôi] - normalized_query: [Check trạng thái tài khoản giúp tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.2827, max=7.4026
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Check trạng thái tài khoản giú...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Check trạng thái tài khoản giú...' | Doc: Tra cứu giao dịch th | Boost: 0.25 | Matched: ['trạng thái']
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Check trạng thái tài khoản giú...' | Doc: Tra cứu giao dịch ch | Boost: 0.25 | Matched: ['ck']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Check trạng thái tài khoản giú...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu giao dịch theo trạng thái': 1, 'Tra cứu giao dịch chuyển tiền': 1}
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Tài khoản này đang hoạt động hay đã khóa...' -> 'Tài khoản này đang hoạt động hay đã khóa...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Tài khoản này đang hoạt động hay đã khóa] - formatted_query: [Tài khoản này đang hoạt động hay đã khóa] - normalized_query: [Tài khoản này đang hoạt động hay đã khóa]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0000, max=4.5560
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tài khoản này đang hoạt động h...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Tài khoản này đang hoạt động h...' -> Tra cứu lịch sử giao dịch theo (score=1)
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Xem dum toi tai khoan cua toi...' -> 'Xem dum toi tai khoan cua toi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Xem dum toi tai khoan cua toi] - formatted_query: [Xem dum toi tai khoan cua toi] - normalized_query: [Xem dum toi tai khoan cua toi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.3122, max=5.5183
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Xem dum toi tai khoan cua toi'
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Chi tiet ve tai khoan cua toi...' -> 'Chi tiet ve tai khoan cua toi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Chi tiet ve tai khoan cua toi] - formatted_query: [Chi tiet ve tai khoan cua toi] - normalized_query: [Chi tiet ve tai khoan cua toi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.1955, max=6.5471
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Chi tiet ve tai khoan cua toi'
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Xem ho tai khoan cua toi...' -> 'Xem ho tai khoan cua toi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Xem ho tai khoan cua toi] - formatted_query: [Xem ho tai khoan cua toi] - normalized_query: [Xem ho tai khoan cua toi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.3122, max=5.5183
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Xem ho tai khoan cua toi'
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Thong tin trang thai tai khoan cua toi...' -> 'Thong tin trang thai tai khoan cua toi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Thong tin trang thai tai khoan cua toi] - formatted_query: [Thong tin trang thai tai khoan cua toi] - normalized_query: [Thong tin trang thai tai khoan cua toi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.2243, max=7.3515
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Thong tin trang thai tai khoan cua toi'
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Cho xem trang thai tai khoan cua toi...' -> 'Cho xem trang thai tai khoan cua toi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Cho xem trang thai tai khoan cua toi] - formatted_query: [Cho xem trang thai tai khoan cua toi] - normalized_query: [Cho xem trang thai tai khoan cua toi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.3122, max=10.9652
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Cho xem trang thai tai khoan cua toi'
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Toi muon biet trang thai tai khoan cua t...' -> 'Toi muon biet trang thai tai khoan cua t...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Toi muon biet trang thai tai khoan cua toi] - formatted_query: [Toi muon biet trang thai tai khoan cua toi] - normalized_query: [Toi muon biet trang thai tai khoan cua toi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.3122, max=9.6334
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Toi muon biet trang thai tai khoan cua toi'
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Cho toi biet trang thai tai khoan cua to...' -> 'Cho toi biet trang thai tai khoan cua to...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Cho toi biet trang thai tai khoan cua toi] - formatted_query: [Cho toi biet trang thai tai khoan cua toi] - normalized_query: [Cho toi biet trang thai tai khoan cua toi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.3122, max=9.6334
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Cho toi biet trang thai tai khoan cua toi'
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Toi hoi trang thai tai khoan cua toi...' -> 'Toi hoi trang thai tai khoan cua toi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Toi hoi trang thai tai khoan cua toi] - formatted_query: [Toi hoi trang thai tai khoan cua toi] - normalized_query: [Toi hoi trang thai tai khoan cua toi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.1696, max=8.7488
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Toi hoi trang thai tai khoan cua toi'
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Giup toi xem trang thai tai khoan cua to...' -> 'Giup toi xem trang thai tai khoan cua to...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Giup toi xem trang thai tai khoan cua toi] - formatted_query: [Giup toi xem trang thai tai khoan cua toi] - normalized_query: [Giup toi xem trang thai tai khoan cua toi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.3122, max=10.9652
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Giup toi xem trang thai tai khoan cua toi'
